id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6526,Lone Tree,Johnson County,IA,Iowa,52755,City,41.48808,-91.42599,319,1388,584,61667,2750099,0,America/Chicago
6527,Long Grove,Scott County,IA,Iowa,52748 / 52756,City,41.69753,-90.58264,563,853,296,93750,2986646,0,America/Chicago
6528,Lorimor,Union County,IA,Iowa,50149,City,41.12832,-94.05328,641,345,165,34688,981304,0,America/Chicago
6529,Lost Nation,Clinton County,IA,Iowa,52254,City,41.96391,-90.81764,563,420,194,40714,1645453,0,America/Chicago
6530,Loveland,Pottawattamie County,IA,Iowa,51555,CDP,41.49722,-95.89001,712,37,21,63377,163941,0,America/Chicago
6531,Lovilia,Monroe County,IA,Iowa,50150,City,41.13584,-92.90409,641,510,218,42273,1301034,0,America/Chicago
6532,Lowden,Cedar County,IA,Iowa,52255,City,41.85752,-90.92820,563,773,382,38056,2698396,0,America/Chicago
6533,Low Moor,Clinton County,IA,Iowa,52730 / 52757,City,41.80170,-90.35485,563,277,72,44167,1203077,0,America/Chicago
6534,Luana,Clayton County,IA,Iowa,52156,City,43.06026,-91.45403,563,280,133,43250,2725269,0,America/Chicago
6535,Lucas,Lucas County,IA,Iowa,50151,City,41.02833,-93.45993,641,212,83,50938,2500615,23342,America/Chicago
6536,Luther,Boone County,IA,Iowa,50152 / 50156,City,41.96776,-93.81884,515,122,69,65250,1521356,0,America/Chicago
6537,Lu Verne,Humboldt County / Kossuth County,IA,Iowa,50560,City,42.90923,-94.08363,515,252,137,34250,5853689,0,America/Chicago
6538,Luxemburg,Dubuque County,IA,Iowa,52052 / 52056 / 52065,City,42.60277,-91.07402,563,253,97,46875,1223750,0,America/Chicago
6539,Luzerne,Benton County,IA,Iowa,52257,City,41.89805,-92.17991,319,95,32,57500,314786,0,America/Chicago
6540,Lynnville,Jasper County,IA,Iowa,50153,City,41.57750,-92.78353,641,390,207,62981,2862035,0,America/Chicago
6541,Lytton,Calhoun County / Sac County,IA,Iowa,50561,City,42.42330,-94.86050,712,299,140,46250,513543,0,America/Chicago
6542,Macedonia,Pottawattamie County,IA,Iowa,51549,City,41.19277,-95.42556,712,245,120,51250,852300,0,America/Chicago
6543,Macksburg,Madison County,IA,Iowa,50155,City,41.21471,-94.18523,641,115,59,42188,5147366,0,America/Chicago
6544,Madrid,Boone County,IA,Iowa,50156,City,41.87665,-93.82328,515,2597,994,54444,3117529,0,America/Chicago
6545,Magnolia,Harrison County,IA,Iowa,51550,City,41.69582,-95.87668,712,173,65,49375,1471706,0,America/Chicago
6546,Maharishi Vedic City,Jefferson County,IA,Iowa,52556,City,41.05252,-91.99490,641,1310,143,55313,8700835,0,America/Chicago
6547,Malcom,Poweshiek County,IA,Iowa,50157,City,41.70833,-92.55908,641,276,145,39712,1583600,0,America/Chicago
6548,Mallard,Palo Alto County,IA,Iowa,50562,City,42.93636,-94.68220,712,266,161,35972,1050430,0,America/Chicago
6549,Maloy,Ringgold County,IA,Iowa,50835 / 50836,City,40.67443,-94.41218,641,29,9,61250,1594317,11439,America/Chicago
6550,Malvern,Mills County,IA,Iowa,51551,City,41.00278,-95.58528,712,1084,396,61842,3091528,0,America/Chicago
6551,Manchester,Delaware County,IA,Iowa,52057,City,42.48415,-91.45543,319 / 563,5053,2136,45616,12565418,39279,America/Chicago
6552,Manilla,Crawford County,IA,Iowa,51454,City,41.88971,-95.23222,712,764,396,35536,2675615,0,America/Chicago
6553,Manly,Worth County,IA,Iowa,50456,City,43.28718,-93.20215,641,1305,579,42434,3796802,0,America/Chicago
6554,Manning,Carroll County,IA,Iowa,51455,City,41.90915,-95.06499,712,1455,695,42548,6439497,17812,America/Chicago
6555,Manson,Calhoun County,IA,Iowa,50563,City,42.52914,-94.53414,712,1614,838,37434,8224582,0,America/Chicago
6556,Mapleton,Monona County,IA,Iowa,51034,City,42.16582,-95.79306,712,1199,612,40294,4152315,0,America/Chicago
6557,Maquoketa,Clinton County / Jackson County,IA,Iowa,52060,City,42.06053,-90.66386,319 / 563,5979,2631,39269,11223961,90929,America/Chicago
6558,Marathon,Buena Vista County,IA,Iowa,50565,City,42.86164,-94.98249,712,239,113,37250,1940810,0,America/Chicago
6559,Marble Rock,Floyd County,IA,Iowa,50653,City,42.96525,-92.86853,641,297,141,38438,2148515,97055,America/Chicago
6560,Marcus,Cherokee County,IA,Iowa,51035,City,42.82582,-95.80751,712,1065,580,52143,3981586,0,America/Chicago
6561,Marengo,Iowa County,IA,Iowa,52301,City,41.79806,-92.07074,319,2491,990,44045,5384451,157498,America/Chicago
6562,Marion,Linn County,IA,Iowa,52302 / 52402 / 52403,City,42.03417,-91.59768,319,38480,14738,64527,45560432,10851,America/Chicago
6563,Marne,Cass County,IA,Iowa,51552,City,41.45138,-95.11138,712,114,49,43750,1488688,0,America/Chicago
6564,Marquette,Clayton County,IA,Iowa,52157 / 52158,City,43.04443,-91.17819,563,453,216,34808,4497792,174963,America/Chicago
6565,Marshalltown,Marshall County,IA,Iowa,50158,City,42.04943,-92.90798,641,27328,9988,50396,49937222,68292,America/Chicago
6566,Martelle,Jones County,IA,Iowa,52305,City,42.02167,-91.35989,319,252,122,46667,868800,0,America/Chicago
6567,Martensdale,Warren County,IA,Iowa,50160,City,41.37305,-93.73578,641,477,185,51964,973341,0,America/Chicago
6568,Martinsburg,Keokuk County,IA,Iowa,52563 / 52568,City,41.17890,-92.25185,641,109,51,56458,971524,0,America/Chicago
6569,Marysville,Marion County,IA,Iowa,50116,City,41.18056,-92.94909,641,66,17,40250,949271,0,America/Chicago
6570,Mason City,Cerro Gordo County,IA,Iowa,50401 / 50402,City,43.15357,-93.20104,641,27430,12688,43525,71974381,787135,America/Chicago
6571,Masonville,Delaware County,IA,Iowa,50654,City,42.47943,-91.59127,563,124,55,28438,859152,0,America/Chicago
6572,Massena,Cass County,IA,Iowa,50853,City,41.25415,-94.76831,712,345,169,36250,1794761,0,America/Chicago
6573,Matlock,Sioux County,IA,Iowa,51201 / 51244,City,43.24387,-95.93530,712,87,33,71875,976311,0,America/Chicago
6574,Maurice,Sioux County,IA,Iowa,51036,City,42.96638,-96.18058,712,278,107,56406,1560021,14621,America/Chicago
6575,Maxwell,Story County,IA,Iowa,50161,City,41.89193,-93.39965,515,926,358,65625,2865353,0,America/Chicago
6576,Maynard,Fayette County,IA,Iowa,50655,City,42.77387,-91.88239,563,497,236,44000,2569223,65649,America/Chicago
6577,Maysville,Scott County,IA,Iowa,52773,City,41.64864,-90.71681,563,182,74,33214,707847,0,America/Chicago
6578,McCallsburg,Story County,IA,Iowa,50154,City,42.16637,-93.38576,515,330,129,44375,1203261,0,America/Chicago
6579,McCausland,Scott County,IA,Iowa,52756 / 52758,City,41.74614,-90.44319,563,313,133,64896,1439766,59214,America/Chicago
6580,McClelland,Pottawattamie County,IA,Iowa,51548,City,41.32944,-95.68390,712,150,51,66250,432643,0,America/Chicago
6581,McGregor,Clayton County,IA,Iowa,52157,City,43.01832,-91.18263,563,842,357,39327,3371197,4978,America/Chicago
6582,McIntire,Mitchell County,IA,Iowa,50455,City,43.43580,-92.59379,641,120,62,31500,2625603,0,America/Chicago
6583,Mechanicsville,Cedar County,IA,Iowa,52306,City,41.90446,-91.25461,319,1120,460,54250,2151035,5076,America/Chicago
6584,Mediapolis,Des Moines County,IA,Iowa,52637,City,41.00809,-91.16404,319,1553,562,50333,3119520,0,America/Chicago
6585,Melbourne,Marshall County,IA,Iowa,50162,City,41.94138,-93.10326,641,820,349,48194,1464787,0,America/Chicago
6586,Melcher-Dallas,Marion County,IA,Iowa,50062 / 50163,City,41.22500,-93.24132,641,1254,538,37586,2578457,0,America/Chicago
6587,Melrose,Monroe County,IA,Iowa,52569,City,40.97612,-93.05048,641,109,60,41250,2615809,0,America/Chicago
6588,Melvin,Osceola County,IA,Iowa,51350,City,43.28747,-95.60918,712,203,110,46250,459462,0,America/Chicago
6589,Menlo,Guthrie County,IA,Iowa,50164,City,41.51915,-94.40441,641,342,158,41500,1213512,0,America/Chicago
6590,Meriden,Cherokee County,IA,Iowa,51037,City,42.79471,-95.63445,712,148,84,44375,289159,0,America/Chicago
6591,Merrill,Plymouth County,IA,Iowa,51038,City,42.71971,-96.24864,712,741,332,52500,1467414,0,America/Chicago
6592,Meservey,Cerro Gordo County,IA,Iowa,50457,City,42.91274,-93.47826,641,249,105,50625,3903061,0,America/Chicago
6593,Meyer,Mitchell County,IA,Iowa,50455,CDP,43.45775,-92.69268,641,0,0,0,1833207,0,America/Chicago
6594,Middle Amana,Iowa County,IA,Iowa,52203 / 52307,CDP,41.79556,-91.89962,319,595,207,69141,2737131,0,America/Chicago
6595,Middletown,Des Moines County,IA,Iowa,52638,City,40.82837,-91.25904,319,334,122,49643,1577513,0,America/Chicago
6596,Miles,Jackson County,IA,Iowa,52064,City,42.04836,-90.31569,563,440,198,49000,3106273,0,America/Chicago
6597,Milford,Dickinson County,IA,Iowa,51351,City,43.32469,-95.15000,712,3055,1299,47024,5980906,28589,America/Chicago
6598,Miller,Hancock County,IA,Iowa,50438,CDP,43.18412,-93.60021,641,0,0,0,5347767,0,America/Chicago
6599,Millersburg,Iowa County,IA,Iowa,52308 / 52316,City,41.57334,-92.15990,319,158,98,52857,349981,0,America/Chicago
6600,Millerton,Wayne County,IA,Iowa,50165,City,40.84945,-93.30549,641,46,6,38750,536884,0,America/Chicago
6601,Milo,Warren County,IA,Iowa,50166,City,41.29166,-93.44243,641,777,323,57566,1612646,0,America/Chicago
6602,Milton,Van Buren County,IA,Iowa,52570,City,40.67336,-92.16212,641,413,175,38036,6497528,11551,America/Chicago
6603,Minburn,Dallas County,IA,Iowa,50167,City,41.75638,-94.02745,515,367,136,44318,665428,0,America/Chicago
6604,Minden,Pottawattamie County,IA,Iowa,51553,City,41.46694,-95.54278,712,594,235,62917,1082251,13322,America/Chicago
6605,Mineola,Mills County,IA,Iowa,51554,CDP,41.14305,-95.69556,712,152,63,40568,1070671,0,America/Chicago
6606,Mingo,Jasper County,IA,Iowa,50168,City,41.76749,-93.28354,641,300,107,35313,1573814,0,America/Chicago
6607,Missouri Valley,Harrison County,IA,Iowa,51555,City,41.55638,-95.88779,712,2662,1183,44150,8367405,0,America/Chicago
6608,Mitchell,Mitchell County,IA,Iowa,50461,City,43.32191,-92.86770,641,136,56,41250,1409666,0,America/Chicago
6609,Mitchellville,Jasper County / Polk County,IA,Iowa,50169,City,41.66812,-93.36394,515,2405,618,54107,6046094,15019,America/Chicago
6610,Modale,Harrison County,IA,Iowa,51556,City,41.61971,-96.01196,712,260,116,51167,2715091,0,America/Chicago
6611,Mona,Mitchell County,IA,Iowa,50472,CDP,43.48719,-92.94130,641,34,39,62784,3860485,0,America/Chicago
6612,Mondamin,Harrison County,IA,Iowa,51557,City,41.71054,-96.02168,712,369,162,45682,1168557,0,America/Chicago
6613,Monmouth,Jackson County,IA,Iowa,52309,City,42.07696,-90.87986,563,151,60,40000,1456161,0,America/Chicago
6614,Monona,Clayton County,IA,Iowa,52159,City,43.05165,-91.38930,563,1493,779,48209,3021812,0,America/Chicago
6615,Monroe,Jasper County,IA,Iowa,50170,City,41.52221,-93.10187,641,1846,736,55714,4386928,0,America/Chicago
6616,Montezuma,Poweshiek County,IA,Iowa,50171,City,41.58583,-92.52741,641,1424,637,50966,6427001,31040,America/Chicago
6617,Monticello,Jones County,IA,Iowa,52310,City,42.23834,-91.18709,319,3836,1611,47083,16357059,109206,America/Chicago
6618,Montour,Tama County,IA,Iowa,50173,City,41.98138,-92.71492,641,247,107,57321,1182517,0,America/Chicago
6619,Montrose,Lee County,IA,Iowa,52639,City,40.53226,-91.41488,319,869,364,44444,2900418,41929,America/Chicago
6620,Moorhead,Monona County,IA,Iowa,51558,City,41.92249,-95.85140,712,217,123,32750,837209,0,America/Chicago
6621,Moorland,Webster County,IA,Iowa,50566,City,42.44164,-94.29497,515,163,78,38125,3833242,0,America/Chicago
6622,Moravia,Appanoose County / Monroe County,IA,Iowa,52571,City,40.89172,-92.81998,641,639,342,41196,2897890,630,America/Chicago
6623,Morley,Jones County,IA,Iowa,52312,City,42.00612,-91.24627,319,112,51,30313,242871,0,America/Chicago
6624,Morning Sun,Louisa County,IA,Iowa,52640,City,41.09614,-91.25765,319,814,322,47778,2016233,0,America/Chicago
6625,Morrison,Grundy County,IA,Iowa,50657 / 50669,City,42.34415,-92.67381,319,92,38,56250,247027,0,America/Chicago
6626,Moulton,Appanoose County,IA,Iowa,52572,City,40.68585,-92.67741,641,581,256,32083,2613262,0,America/Chicago
6627,Mount Auburn,Benton County,IA,Iowa,52313,City,42.25499,-92.09268,319,148,45,45417,726043,0,America/Chicago
6628,Mount Ayr,Ringgold County,IA,Iowa,50854,City,40.71471,-94.23523,641,1679,743,45688,6878943,53165,America/Chicago
6629,Mount Pleasant,Henry County,IA,Iowa,52641,City,40.96364,-91.55794,319,8392,3071,45539,22031144,39135,America/Chicago
6630,Mount Sterling,Van Buren County,IA,Iowa,52573,CDP,40.61781,-91.93212,319,36,17,127875,8529347,5067,America/Chicago
6631,Mount Union,Henry County,IA,Iowa,52644,City,41.05781,-91.39043,319,106,44,41667,290004,0,America/Chicago
6632,Mount Vernon,Linn County,IA,Iowa,52314,City,41.92195,-91.41684,319,4444,1236,68910,9045787,16175,America/Chicago
6633,Moville,Woodbury County,IA,Iowa,51039,City,42.48888,-96.07252,712,1621,593,56250,2312125,0,America/Chicago
6634,Murray,Clarke County,IA,Iowa,50174,City,41.04166,-93.94939,641,729,271,40417,2056896,0,America/Chicago
6635,Muscatine,Muscatine County,IA,Iowa,52761,City,41.42447,-91.04321,319 / 563,23914,9318,44601,47037880,2734135,America/Chicago
6636,Mystic,Appanoose County,IA,Iowa,52574,City,40.77751,-92.94381,641,412,192,28906,7558496,0,America/Chicago
6637,Nashua,Chickasaw County / Floyd County,IA,Iowa,50658,City,42.95039,-92.54254,641,1609,694,46121,7456465,671683,America/Chicago
6638,Nemaha,Sac County,IA,Iowa,50567,City,42.51581,-95.08832,712,82,34,40000,190439,0,America/Chicago
6639,Neola,Pottawattamie County,IA,Iowa,51559,City,41.44888,-95.61556,712,859,349,47969,1224481,9012,America/Chicago
6640,Nevada,Story County,IA,Iowa,50201,City,42.02277,-93.45243,515,6805,2791,55657,14667751,48040,America/Chicago
6641,New Albin,Allamakee County,IA,Iowa,52160,City,43.49664,-91.28958,563,513,306,26912,628819,0,America/Chicago
6642,Newell,Buena Vista County,IA,Iowa,50568,City,42.60553,-95.00277,712,867,402,55500,3270701,0,America/Chicago
6643,Newhall,Benton County,IA,Iowa,52315,City,41.99556,-91.96768,319,849,373,66771,818388,0,America/Chicago
6644,New Hampton,Chickasaw County,IA,Iowa,50659,City,43.05914,-92.31768,641,3424,1548,41455,8189391,0,America/Chicago
6645,New Hartford,Butler County,IA,Iowa,50613 / 50660,City,42.56693,-92.62214,319,502,252,47065,1291467,0,America/Chicago
6646,New Haven,Mitchell County,IA,Iowa,50461,CDP,43.28442,-92.64213,641,37,36,26310,4989194,0,America/Chicago
6647,New Liberty,Scott County,IA,Iowa,52765,City,41.71780,-90.87904,563,142,55,56563,233728,0,America/Chicago
6648,New London,Henry County,IA,Iowa,52645,City,40.92698,-91.39960,319,1863,761,46830,2606812,0,America/Chicago
6649,New Market,Taylor County,IA,Iowa,51646,City,40.73110,-94.89970,712,406,187,42321,1137520,1856,America/Chicago
6650,New Providence,Hardin County,IA,Iowa,50206,City,42.28110,-93.17159,641,225,90,49500,2608428,0,America/Chicago
6651,New Sharon,Mahaska County,IA,Iowa,50207,City,41.47000,-92.65130,641,1287,474,57065,2426057,0,America/Chicago
6652,Newton,Jasper County,IA,Iowa,50208,City,41.69971,-93.04798,641,15034,6232,46512,29165478,0,America/Chicago
6653,New Vienna,Dubuque County,IA,Iowa,52065,City,42.54805,-91.11430,563,421,193,55469,1207105,0,America/Chicago
6654,New Virginia,Warren County,IA,Iowa,50210,City,41.18222,-93.72883,641,489,183,58438,1196688,0,America/Chicago
6655,Nichols,Muscatine County,IA,Iowa,52766,City,41.48114,-91.30766,319,372,151,51250,600795,0,America/Chicago
6656,Nodaway,Adams County,IA,Iowa,50857,City,40.93721,-94.89498,712,106,54,35000,1386235,0,America/Chicago
6657,Nora Springs,Cerro Gordo County / Floyd County,IA,Iowa,50458,City,43.14408,-93.00893,641,1379,664,42500,5660055,69206,America/Chicago
6658,Northboro,Page County,IA,Iowa,51647,City,40.60777,-95.29165,712,56,18,31250,661699,0,America/Chicago
